Type Vehicule;Carburant;Norme Euro;Polluant;Type Route;FE;
PL;Diesel;Euro 3;UTSP;Route;0.129;
VUL;Diesel;Euro 3;N2O;Route;0.004;
VP;Essence;Euro 3;N2O;Route;0.00157;
PL;Diesel;Euro 3;NOx;Route;5.66035;
VUL;Diesel;Euro 3;CH4;Ville;0.00299;
VUL;Diesel;Euro 3;UTSP;Ville;0.058;
PL;Diesel;Euro 3;UPM1.0;Ville;0.006;
VP;Essence;Euro 3;CH4;Route;0.002;
2R;Essence;Euro 3;N2O;Ville;0.00188;
2R;Essence;Euro 3;COVNM;Route;0.719;
Bus;Diesel;Euro 3;CH4;Route;0.0472;
2R;Essence;Euro 3;CH4;Ville;0.06135;
VUL;Essence;Euro 3;PM10;Ville;0.00128;
PL;Essence;Euro 3;UPM1.0;Route;0.006;
VP;Diesel;Euro 3;COVNM;Ville;0.023;
VP;Essence;Euro 3;ECOVNM;Ville;0.146;
BUS;Diesel;Euro 3;UTSP;Route;0.149;
VUL;Diesel;Euro 3;PM2.5;Ville;0.05211;
VP;Diesel;Euro 3;UPM2.5;Ville;0.015;
VP;Diesel;Euro 3;CO;Ville;0.136;
VUL;Diesel;Euro 3;UPM10;Ville;0.041;
VP;Diesel;Euro 3;CO2;Route;145.94937;
PL;Essence;Euro 3;SO2;Route;0.01248;
Bus;Diesel;Euro 3;CH4;Ville;0.10325;
BUS;Diesel;Euro 3;UPM1.0;Ville;0.008;
VP;Essence;Euro 3;UPM1.0;Ville;0.002;
VUL;Diesel;Euro 3;PM1.0;Ville;0.04814;
BUS;Diesel;Euro 3;NH3;Route;0.002;
VP;Essence;Euro 3;UPM2.5;Route;0.012;
2R;Essence;Euro 3;UTSP;Ville;0.019;
VUL;Essence;Euro 3;ECOVNM;Route;0.082;
VP;Essence;Euro 3;UTSP;Route;0.033;
PL;Essence;Euro 3;PM1.0;Route;0.00367;
2R;Essence;Euro 3;ECOVNM;Ville;0.504;
PL;Diesel;Euro 3;COVNM;Ville;0.638;
2R;Essence;Euro 3;CH4;Route;0.02778;
BUS;Diesel;Euro 3;COVNM;Ville;0.693;
Bus;Diesel;Euro 3;CO2;Ville;1232.32345;
VP;Diesel;Euro 3;PM1.0;Route;0.02448;
VP;Essence;Euro 3;PM2.5;Route;0.00084;
VUL;Essence;Euro 3;ECOVNM;Ville;0.217;
BUS;Diesel;Euro 3;UPM1.0;Route;0.006;
2R;Essence;Euro 3;NOx;Route;0.1873;
Bus;Diesel;Euro 3;PM10;Route;0.11107;
VP;Essence;Euro 3;NH3;Route;0.031;
VP;Essence;Euro 3;CO;Ville;0.71;
VP;Diesel;Euro 3;NH3;Route;0.001;
VP;Essence;Euro 3;NOx;Route;0.05958;
VP;Diesel;Euro 3;N2O;Ville;0.01194;
VUL;Diesel;Euro 3;CO2;Route;173.41325;
VUL;Essence;Euro 3;CH4;Ville;0.04279;
PL;Diesel;Euro 3;UPM1.0;Route;0.005;
PL;Essence;Euro 3;NOx;Ville;5.32923;
2R;Essence;Euro 3;UPM1.0;Route;0.001;
PL;Diesel;Euro 3;CO2;Route;663.32974;
Bus;Diesel;Euro 3;NOx;Ville;12.14284;
BUS;Diesel;Euro 3;NH3;Ville;0.003;
2R;Essence;Euro 3;NH3;Route;0.002;
PL;Essence;Euro 3;CO;Ville;6.155;
VUL;Diesel;Euro 3;PM10;Route;0.0429;
VP;Essence;Euro 3;ECOVNM;Route;0.055;
VP;Essence;Euro 3;NOx;Ville;0.16019;
VUL;Essence;Euro 3;COVNM;Route;0.011;
VUL;Diesel;Euro 3;UPM10;Route;0.028;
VP;Essence;Euro 3;PM1.0;Route;0.00062;
VP;Essence;Euro 3;ECOVNM;Ville;0.146;
PL;Essence;Euro 3;UPM10;Route;0.094;
VP;Essence;Euro 3;SO2;Ville;0.00706;
VP;Essence;Euro 3;CO;Route;0.647;
VUL;Essence;Euro 3;ECOVNM;Ville;0.217;
VUL;Diesel;Euro 3;PM2.5;Route;0.0429;
VP;Essence;Euro 3;CH4;Ville;0.04278;
VUL;Essence;Euro 3;PM2.5;Ville;0.00128;
PL;Essence;Euro 3;NH3;Ville;0.002;
VUL;Diesel;Euro 3;N2O;Ville;0.01194;
PL;Essence;Euro 3;COVNM;Route;2.502;
VUL;Essence;Euro 3;UPM1.0;Route;0.002;
VP;Essence;Euro 3;UTSP;Ville;0.042;
PL;Essence;Euro 3;PM10;Ville;0.01091;
VP;Essence;Euro 3;UPM10;Route;0.021;
2R;Essence;Euro 3;NH3;Ville;0.002;
PL;Diesel;Euro 3;NH3;Ville;0.003;
PL;Essence;Euro 3;PM2.5;Ville;0.01091;
VP;Diesel;Euro 3;PM1.0;Ville;0.02672;
VUL;Diesel;Euro 3;COVNM;Ville;0.087;
2R;Essence;Euro 3;SO2;Ville;0.00335;
VP;Essence;Euro 3;CO2;Route;138.79975;
2R;Essence;Euro 3;UPM10;Ville;0.013;
VUL;Diesel;Euro 3;NH3;Ville;0;
VP;Essence;Euro 3;COVNM;Route;0.012;
VP;Diesel;Euro 3;UPM10;Ville;0.029;
2R;Essence;Euro 3;UPM2.5;Route;0.005;
PL;Essence;Euro 3;UPM1.0;Ville;0.008;
BUS;Diesel;Euro 3;CO;Ville;3.481;
VUL;Diesel;Euro 3;UPM2.5;Route;0.016;
PL;Diesel;Euro 3;CO2;Ville;1101.73643;
Bus;Diesel;Euro 3;PM10;Ville;0.27749;
VUL;Diesel;Euro 3;SO2;Route;0.00546;
VUL;Essence;Euro 3;SO2;Route;0.00424;
VP;Essence;Euro 3;UPM10;Ville;0.029;
VUL;Diesel;Euro 3;UPM2.5;Ville;0.022;
VP;Essence;Euro 3;PM2.5;Ville;0.00128;
VUL;Essence;Euro 3;NH3;Route;0.031;
VP;Diesel;Euro 3;SO2;Route;0.0046;
PL;Diesel;Euro 3;PM2.5;Ville;0.26575;
VP;Essence;Euro 3;PM1.0;Ville;0.00096;
Bus;Diesel;Euro 3;N2O;Ville;0.00534;
VP;Diesel;Euro 3;UPM2.5;Route;0.012;
VP;Diesel;Euro 3;CO2;Ville;205.97012;
PL;Diesel;Euro 3;PM2.5;Route;0.11929;
VUL;Essence;Euro 3;CH4;Route;0.002;
PL;Essence;Euro 3;PM10;Route;0.00492;
PL;Diesel;Euro 3;PM10;Route;0.11929;
PL;Essence;Euro 3;CO2;Ville;578.67612;
VUL;Diesel;Euro 3;UPM1.0;Ville;0.003;
PL;Diesel;Euro 3;N2O;Ville;0.00482;
PL;Diesel;Euro 3;CO;Ville;3.091;
VP;Diesel;Euro 3;SO2;Ville;0.00649;
2R;Essence;Euro 3;UPM1.0;Ville;0.001;
PL;Diesel;Euro 3;N2O;Route;0.00482;
VUL;Diesel;Euro 3;COVNM;Route;0.063;
PL;Diesel;Euro 3;SO2;Route;0.02089;
PL;Essence;Euro 3;CO2;Route;397.91442;
BUS;Diesel;Euro 3;UPM2.5;Route;0.05;
BUS;Diesel;Euro 3;UPM10;Ville;0.116;
PL;Essence;Euro 3;UTSP;Ville;0.17;
VP;Essence;Euro 3;UPM1.0;Route;0.001;
VP;Essence;Euro 3;PM10;Route;0.00084;
VUL;Essence;Euro 3;PM2.5;Route;0.00084;
VUL;Diesel;Euro 3;CO;Route;0.279;
PL;Essence;Euro 3;UPM10;Ville;0.115;
PL;Essence;Euro 3;CH4;Ville;0.14;
VUL;Essence;Euro 3;CO2;Ville;268.46127;
VUL;Diesel;Euro 4;UPM10;Ville;0.041;
PL;Diesel;Euro 4;CO;Ville;1.52;
VP;Diesel;Euro 4;UPM10;Route;0.021;
VUL;Essence;Euro 4;NOx;Ville;0.09797;
VUL;Diesel;Euro 4;UPM1.0;Route;0.002;
2R;Essence;Euro 4;PM10;Route;0.00642;
VP;Diesel;Euro 4;CH4;Ville;0.00109;
VUL;Diesel;Euro 4;COVNM;Route;0.024;
VP;Essence;Euro 4;COVNM;Ville;0.024;
VUL;Diesel;Euro 4;UPM2.5;Ville;0.022;
VP;Essence;Euro 4;UPM2.5;Ville;0.015;
VP;Essence;Euro 4;UPM10;Ville;0.029;
PL;Diesel;Euro 4;PM2.5;Route;0.03157;
VP;Essence;Euro 4;PM10;Ville;0.00128;
VP;Essence;Euro 4;UTSP;Route;0.033;
VUL;Essence;Euro 4;CO;Route;0.211;
VUL;Diesel;Euro 4;UPM10;Route;0.028;
VUL;Essence;Euro 4;SO2;Route;0.00408;
VUL;Essence;Euro 4;PM1.0;Route;0.00062;
Bus;Diesel;Euro 4;PM2.5;Ville;0.062;
VUL;Essence;Euro 4;PM2.5;Ville;0.00128;
VP;Essence;Euro 4;CH4;Ville;0.02953;
PL;Diesel;Euro 4;SO2;Route;0.02203;
PL;Essence;Euro 4;UTSP;Ville;0.17;
PL;Diesel;Euro 4;NH3;Ville;0.003;
VUL;Diesel;Euro 4;CH4;Ville;0.00109;
PL;Essence;Euro 4;PM1.0;Route;0.00367;
PL;Essence;Euro 4;CO2;Route;386.55221;
VP;Diesel;Euro 4;PM10;Route;0.02432;
BUS;Diesel;Euro 4;UPM10;Route;0.096;
VP;Diesel;Euro 4;UPM10;Ville;0.029;
PL;Diesel;Euro 4;NH3;Route;0.003;
PL;Essence;Euro 4;PM10;Ville;0.01091;
PL;Essence;Euro 4;N2O;Ville;0.006;
Bus;Diesel;Euro 4;CO2;Route;602.5131;
PL;Essence;Euro 4;COVNM;Route;2.546;
PL;Essence;Euro 4;NOx;Ville;5.31116;
BUS;Diesel;Euro 4;UPM10;Ville;0.117;
VUL;Essence;Euro 4;PM2.5;Route;0.00084;
2R;Essence;Euro 4;SO2;Ville;0.00359;
VP;Essence;Euro 4;UPM2.5;Route;0.012;
PL;Essence;Euro 4;PM10;Route;0.00492;
VUL;Essence;Euro 4;N2O;Route;0.00248;
2R;Essence;Euro 4;ECOVNM;Route;0.163;
VUL;Essence;Euro 4;NOx;Route;0.0406;
PL;Essence;Euro 4;UPM2.5;Ville;0.058;
VUL;Essence;Euro 4;ECOVNM;Route;0.064;
VUL;Essence;Euro 4;UPM1.0;Route;0.002;
VP;Diesel;Euro 4;UPM2.5;Route;0.012;
2R;Essence;Euro 4;COVNM;Ville;0.383;
PL;Essence;Euro 4;UPM10;Route;0.094;
VP;Essence;Euro 4;ECOVNM;Route;0.047;
2R;Essence;Euro 4;UPM1.0;Ville;0.001;
VUL;Diesel;Euro 4;CO;Ville;0.351;
2R;Essence;Euro 4;UTSP;Ville;0.019;
Bus;Diesel;Euro 4;PM10;Ville;0.062;
VP;Diesel;Euro 4;COVNM;Ville;0.015;
PL;Essence;Euro 4;NH3;Ville;0.002;
BUS;Diesel;Euro 4;COVNM;Route;0.036;
PL;Essence;Euro 4;PM1.0;Ville;0.00815;
2R;Essence;Euro 4;ECOVNM;Route;0.163;
2R;Essence;Euro 4;CO2;Ville;114.37197;
PL;Diesel;Euro 4;COVNM;Ville;0.087;
VP;Diesel;Euro 4;PM2.5;Route;0.02432;
PL;Diesel;Euro 4;CH4;Route;0.00453;
2R;Essence;Euro 4;CO2;Route;99.85907;
VP;Essence;Euro 4;PM10;Route;0.00084;
BUS;Diesel;Euro 4;UPM1.0;Ville;0.008;
VUL;Essence;Euro 4;NH3;Ville;0.004;
PL;Essence;Euro 4;COVNM;Ville;6.621;
VP;Essence;Euro 4;UPM1.0;Route;0.001;
VP;Essence;Euro 4;NH3;Route;0.03;
VP;Essence;Euro 4;COVNM;Route;0.011;
VP;Diesel;Euro 4;PM1.0;Ville;0.02953;
PL;Diesel;Euro 4;COVNM;Route;0.038;
VUL;Essence;Euro 4;ECOVNM;Ville;0.171;
PL;Essence;Euro 4;CH4;Route;0.11;
VUL;Diesel;Euro 4;UPM1.0;Ville;0.003;
VP;Essence;Euro 4;UPM1.0;Ville;0.002;
BUS;Diesel;Euro 4;UPM2.5;Route;0.05;
PL;Essence;Euro 4;NOx;Route;4.2707;
PL;Diesel;Euro 4;CH4;Ville;0.00453;
PL;Essence;Euro 4;PM2.5;Ville;0.01091;
2R;Essence;Euro 4;UPM10;Ville;0.013;
PL;Diesel;Euro 4;CO;Route;0.823;
PL;Essence;Euro 4;CH4;Ville;0.14;
BUS;Diesel;Euro 4;UPM1.0;Route;0.006;
2R;Essence;Euro 4;UPM10;Route;0.009;
PL;Diesel;Euro 4;UTSP;Route;0.127;
Bus;Diesel;Euro 4;SO2;Ville;0.03574;
VUL;Diesel;Euro 4;CO2;Ville;257.48309;
2R;Essence;Euro 4;UPM1.0;Route;0.001;
PL;Essence;Euro 4;UPM1.0;Route;0.006;
PL;Diesel;Euro 4;PM10;Route;0.03157;
VUL;Essence;Euro 4;CH4;Route;0.002;
VP;Essence;Euro 4;N2O;Ville;0.00466;
VP;Diesel;Euro 4;UTSP;Ville;0.042;
VUL;Diesel;Euro 4;N2O;Ville;0.01194;
VP;Essence;Euro 4;NOx;Route;0.03039;
VP;Diesel;Euro 4;CO2;Ville;194.99086;
2R;Essence;Euro 4;N2O;Route;0.00196;
PL;Diesel;Euro 4;UTSP;Ville;0.146;
PL;Diesel;Euro 4;UPM10;Route;0.082;
PL;Essence;Euro 4;CO2;Ville;562.15236;
2R;Essence;Euro 4;UPM2.5;Route;0.005;
VP;Essence;Euro 4;CO2;Ville;216.50847;
PL;Diesel;Euro 4;UPM10;Ville;0.1;
Bus;Diesel;Euro 4;PM1.0;Ville;0.05729;
BUS;Diesel;Euro 4;COVNM;Ville;0.091;
VP;Essence;Euro 4;CO;Route;0.284;
Bus;Diesel;Euro 4;PM1.0;Route;0.0253;
VP;Diesel;Euro 4;CO;Ville;0.133;
VUL;Diesel;Euro 4;CO;Route;0.227;
2R;Essence;Euro 4;ECOVNM;Ville;0.455;
VUL;Diesel;Euro 4;PM2.5;Ville;0.0305;
PL;Essence;Euro 4;PM2.5;Route;0.00492;
VUL;Diesel;Euro 4;SO2;Ville;0.00811;
VP;Diesel;Euro 4;UPM1.0;Route;0.001;
PL;Diesel;Euro 4;SO2;Ville;0.03456;
VP;Essence;Euro 4;PM1.0;Ville;0.00096;
Bus;Diesel;Euro 4;CO2;Ville;1134.48925;
Bus;Diesel;Euro 4;CH4;Ville;0.00525;
VP;Essence;Euro 4;ECOVNM;Ville;0.125;
VP;Essence;Euro 4;NOx;Ville;0.11014;
PL;Essence;Euro 4;NH3;Route;0.002;
VP;Essence;Euro 4;UTSP;Ville;0.042;
PL;Diesel;Euro 4;CO2;Ville;1097.01546;
PL;Diesel;Euro 4;UPM2.5;Route;0.041;
VP;Diesel;Euro 4;SO2;Route;0.00437;
VUL;Diesel;Euro 4;NOx;Route;0.66565;
VUL;Diesel;Euro 4;UTSP;Ville;0.058;
PL;Essence;Euro 4;UPM10;Ville;0.115;
VP;Essence;Euro 4;UPM10;Route;0.021;
VUL;Diesel;Euro 4;PM10;Route;0.02511;
VP;Diesel;Euro 4;SO2;Ville;0.00614;
2R;Essence;Euro 4;SO2;Route;0.00313;
VUL;Essence;Euro 4;UPM2.5;Route;0.016;
2R;Essence;Euro 4;ECOVNM;Ville;0.455;
BUS;Diesel;Euro 4;NH3;Route;0.002;
BUS;Diesel;Euro 4;CO;Route;0.651;
VUL;Essence;Euro 4;CO;Ville;2.027;
PL;Essence;Euro 4;UPM1.0;Ville;0.008;
2R;Essence;Euro 4;UTSP;Route;0.014;
VUL;Diesel;Euro 4;NOx;Ville;0.87551;
PL;Essence;Euro 4;CO;Ville;6.155;
PL;Diesel;Euro 4;PM1.0;Ville;0.05254;
Bus;Diesel;Euro 4;PM2.5;Route;0.02738;
2R;Essence;Euro 4;NH3;Route;0.002;
BUS;Diesel;Euro 4;UTSP;Route;0.149;
BUS;Diesel;Euro 4;CO;Ville;1.777;
PL;Diesel;Euro 4;NOx;Route;4.32505;
VP;Essence;Euro 4;N2O;Route;0.00139;
VUL;Diesel;Euro 4;COVNM;Ville;0.033;
VP;Essence;Euro 4;PM1.0;Route;0.00062;
PL;Essence;Euro 4;UTSP;Route;0.147;
2R;Essence;Euro 4;COVNM;Route;0.33;
VUL;Essence;Euro 4;NH3;Route;0.03;
PL;Essence;Euro 4;UPM2.5;Route;0.049;
PL;Diesel;Euro 4;N2O;Route;0.01431;
VUL;Essence;Euro 4;UPM10;Ville;0.041;
2R;Essence;Euro 4;PM1.0;Ville;0.00479;
2R;Essence;Euro 4;PM2.5;Ville;0.00642;
Bus;Diesel;Euro 4;N2O;Ville;0.01171;
VP;Essence;Euro 4;ECOVNM;Route;0.047;
VUL;Diesel;Euro 4;PM1.0;Route;0.0232;
PL;Diesel;Euro 4;NOx;Ville;6.79108;
Bus;Diesel;Euro 4;N2O;Route;0.01348;
PL;Diesel;Euro 4;UPM1.0;Route;0.004;
VP;Diesel;Euro 4;COVNM;Route;0.006;
VUL;Diesel;Euro 4;NH3;Ville;0;
VUL;Essence;Euro 4;PM10;Route;0.00084;
VP;Essence;Euro 4;PM2.5;Ville;0.00128;
PL;Essence;Euro 4;CO;Route;3.123;
VP;Diesel;Euro 4;N2O;Route;0.004;
VUL;Essence;Euro 4;ECOVNM;Route;0.064;
VUL;Essence;Euro 4;CO2;Ville;258.99225;
Bus;Diesel;Euro 4;CH4;Route;0.0024;
PL;Diesel;Euro 4;PM10;Ville;0.05686;
VUL;Essence;Euro 4;CO2;Route;130.18619;
VP;Diesel;Euro 4;CO;Route;0.035;
VUL;Essence;Euro 4;UPM1.0;Ville;0.003;
PL;Diesel;Euro 4;UPM1.0;Ville;0.006;
VUL;Essence;Euro 4;COVNM;Route;0.004;
VUL;Diesel;Euro 4;NH3;Route;0.001;
VUL;Diesel;Euro 4;UPM2.5;Route;0.016;
VP;Essence;Euro 4;SO2;Ville;0.00679;
VUL;Essence;Euro 4;N2O;Ville;0.00878;
VP;Essence;Euro 4;CO2;Route;135.02886;
VUL;Diesel;Euro 4;N2O;Route;0.004;
PL;Diesel;Euro 4;UPM2.5;Ville;0.048;
2R;Essence;Euro 4;NOx;Route;0.15615;
Bus;Diesel;Euro 4;PM10;Route;0.02738;
VP;Diesel;Euro 4;CO2;Route;138.68583;
VUL;Essence;Euro 4;COVNM;Ville;0.026;
VP;Diesel;Euro 4;NH3;Route;0.001;
2R;Essence;Euro 4;N2O;Ville;0.00195;
VP;Essence;Euro 4;NH3;Ville;0.004;
VUL;Essence;Euro 4;PM10;Ville;0.00128;
VP;Diesel;Euro 4;UTSP;Route;0.033;
VP;Diesel;Euro 4;PM1.0;Route;0.02247;
PL;Diesel;Euro 4;PM2.5;Ville;0.05686;
2R;Essence;Euro 4;PM10;Ville;0.00642;
VUL;Diesel;Euro 4;PM10;Ville;0.0305;
VP;Diesel;Euro 4;PM2.5;Ville;0.03196;
2R;Essence;Euro 4;NH3;Ville;0.002;
VUL;Diesel;Euro 4;SO2;Route;0.0053;
VP;Essence;Euro 4;CO;Ville;0.251;
2R;Essence;Euro 4;NOx;Ville;0.11167;
PL;Essence;Euro 4;SO2;Route;0.01212;
PL;Diesel;Euro 4;PM1.0;Route;0.02917;
VUL;Diesel;Euro 4;CO2;Route;168.27241;
VUL;Essence;Euro 4;CH4;Ville;0.02936;
Bus;Diesel;Euro 4;SO2;Route;0.01898;
VP;Diesel;Euro 4;NOx;Ville;0.63883;
BUS;Diesel;Euro 4;UTSP;Ville;0.173;
VUL;Essence;Euro 4;SO2;Ville;0.00812;
VUL;Essence;Euro 4;UPM2.5;Ville;0.022;
PL;Essence;Euro 4;SO2;Ville;0.01763;
2R;Essence;Euro 4;CH4;Ville;0.06465;
VP;Essence;Euro 4;ECOVNM;Ville;0.125;
VP;Diesel;Euro 4;NH3;Ville;0;
VP;Diesel;Euro 4;UPM2.5;Ville;0.015;
VP;Essence;Euro 4;SO2;Route;0.00423;
VP;Diesel;Euro 4;N2O;Ville;0.01194;
VUL;Essence;Euro 4;ECOVNM;Ville;0.171;
VP;Diesel;Euro 4;PM10;Ville;0.03196;
VP;Diesel;Euro 4;UPM1.0;Ville;0.002;
2R;Essence;Euro 4;PM1.0;Route;0.0048;
VP;Essence;Euro 4;CH4;Route;0.00269;
VUL;Essence;Euro 4;UTSP;Ville;0.058;
Bus;Diesel;Euro 4;NOx;Ville;7.57725;
BUS;Diesel;Euro 4;UPM2.5;Ville;0.059;
Bus;Diesel;Euro 4;NOx;Route;3.59458;
VUL;Essence;Euro 4;UTSP;Route;0.044;
2R;Essence;Euro 4;UPM2.5;Ville;0.007;
PL;Essence;Euro 4;N2O;Route;0.006;
VUL;Diesel;Euro 4;PM1.0;Ville;0.02818;
VUL;Diesel;Euro 4;PM2.5;Route;0.02511;
VP;Diesel;Euro 4;NOx;Route;0.42527;
BUS;Diesel;Euro 4;NH3;Ville;0.003;
2R;Essence;Euro 4;PM2.5;Route;0.00642;
PL;Diesel;Euro 4;N2O;Ville;0.01165;
VUL;Diesel;Euro 4;UTSP;Route;0.044;
VP;Essence;Euro 4;PM2.5;Route;0.00084;
VUL;Essence;Euro 4;UPM10;Route;0.028;
2R;Essence;Euro 4;CH4;Route;0.02837;
VUL;Essence;Euro 4;PM1.0;Ville;0.00096;
PL;Diesel;Euro 4;CO2;Route;699.47872;
PL;Essence;Euro 5;UTSP;Ville;0.17;
PL;Diesel;Euro 5;PM2.5;Route;0.0381;
PL;Essence;Euro 5;CO;Ville;6.155;
VP;Diesel;Euro 5;UPM10;Ville;0.029;
VP;Diesel;Euro 5;CO;Ville;0.064;
PL;Essence;Euro 5;NOx;Ville;5.31116;
Bus;Diesel;Euro 5;NOx;Route;2.77738;
VUL;Essence;Euro 5;UPM2.5;Route;0.016;
VUL;Essence;Euro 5;PM2.5;Route;0.00205;
VP;Essence;Euro 5;UPM1.0;Route;0.001;
BUS;Diesel;Euro 5;UPM2.5;Ville;0.059;
VP;Essence;Euro 5;UPM2.5;Ville;0.015;
Bus;Diesel;Euro 5;PM1.0;Ville;0.0673;
Bus;Diesel;Euro 5;PM2.5;Route;0.03412;
VUL;Diesel;Euro 5;UPM2.5;Ville;0.022;
BUS;Diesel;Euro 5;UPM1.0;Ville;0.008;
VP;Diesel;Euro 5;CO2;Route;133.38606;
VUL;Diesel;Euro 5;UTSP;Ville;0.058;
VP;Essence;Euro 5;ECOVNM;Route;0.04;
VUL;Essence;Euro 5;CO2;Route;136.41907;
VP;Diesel;Euro 5;N2O;Route;0.004;
VUL;Diesel;Euro 5;N2O;Ville;0.01194;
Bus;Diesel;Euro 5;SO2;Ville;0.03561;
VP;Essence;Euro 5;PM2.5;Ville;0.00157;
VUL;Diesel;Euro 5;COVNM;Ville;0;
Bus;Diesel;Euro 5;NOx;Ville;9.19934;
PL;Diesel;Euro 5;COVNM;Ville;0.125;
PL;Essence;Euro 5;PM10;Ville;0.01091;
VP;Diesel;Euro 5;UPM2.5;Route;0.012;
VP;Diesel;Euro 5;PM1.0;Route;0.00165;
VP;Essence;Euro 5;PM10;Ville;0.00157;
Bus;Diesel;Euro 5;PM1.0;Route;0.03152;
PL;Diesel;Euro 5;PM10;Route;0.0381;
VUL;Essence;Euro 5;UPM1.0;Route;0.002;
PL;Essence;Euro 5;SO2;Ville;0.0173;
VP;Essence;Euro 5;ECOVNM;Ville;0.106;
VUL;Diesel;Euro 5;N2O;Route;0.004;
VP;Diesel;Euro 5;CO2;Ville;188.90771;
VUL;Diesel;Euro 5;SO2;Route;0.00624;
PL;Essence;Euro 5;PM1.0;Ville;0.00815;
VP;Essence;Euro 5;CO;Route;0.261;
PL;Essence;Euro 5;CO2;Ville;551.81077;
PL;Diesel;Euro 5;COVNM;Route;0.053;
VP;Essence;Euro 5;N2O;Route;0.00023;
Bus;Diesel;Euro 5;N2O;Ville;0.03096;
VUL;Diesel;Euro 5;PM2.5;Route;0.00094;
VP;Essence;Euro 5;PM10;Route;0.00123;
VUL;Essence;Euro 5;SO2;Ville;0.00737;
VUL;Essence;Euro 5;ECOVNM;Ville;0.125;
VP;Diesel;Euro 5;NH3;Ville;0.001;
PL;Diesel;Euro 5;CO2;Route;730.34359;
VUL;Diesel;Euro 5;CO2;Ville;262.21697;
VUL;Essence;Euro 5;ECOVNM;Route;0.047;
VP;Diesel;Euro 5;NOx;Route;0.48113;
VP;Diesel;Euro 5;PM1.0;Ville;0.00258;
VUL;Essence;Euro 5;CO;Ville;0.563;
BUS;Diesel;Euro 5;COVNM;Route;0.05;
PL;Essence;Euro 5;CO;Route;3.123;
PL;Diesel;Euro 5;UPM1.0;Route;0.004;
VUL;Essence;Euro 5;PM10;Ville;0.00089;
PL;Essence;Euro 5;COVNM;Ville;6.621;
VP;Diesel;Euro 5;NOx;Ville;0.67021;
VP;Diesel;Euro 5;PM10;Route;0.00178;
VUL;Essence;Euro 5;CO2;Ville;235.0389;
PL;Diesel;Euro 5;NOx;Route;3.17184;
PL;Diesel;Euro 5;SO2;Route;0.02301;
VP;Essence;Euro 5;NOx;Route;0.01903;
VP;Diesel;Euro 5;SO2;Route;0.0042;
PL;Diesel;Euro 5;UPM2.5;Ville;0.048;
VP;Essence;Euro 5;PM1.0;Route;0.00091;
VP;Diesel;Euro 5;UPM2.5;Ville;0.015;
PL;Essence;Euro 5;UPM1.0;Ville;0.008;
VP;Essence;Euro 5;UTSP;Route;0.033;
PL;Essence;Euro 5;CH4;Ville;0.14;
PL;Diesel;Euro 5;CO;Route;1.06;
VP;Diesel;Euro 5;PM2.5;Ville;0.0028;
VUL;Essence;Euro 5;UPM10;Route;0.028;
VP;Essence;Euro 5;ECOVNM;Route;0.04;
VUL;Diesel;Euro 5;SO2;Ville;0.00826;
VP;Diesel;Euro 5;CO;Route;0.025;
VP;Essence;Euro 5;ECOVNM;Ville;0.106;
VP;Essence;Euro 5;COVNM;Ville;0.019;
VP;Diesel;Euro 5;UPM1.0;Route;0.001;
BUS;Diesel;Euro 5;COVNM;Ville;0.126;
VUL;Essence;Euro 5;UPM1.0;Ville;0.003;
PL;Essence;Euro 5;SO2;Route;0.0119;
VUL;Essence;Euro 5;PM2.5;Ville;0.00089;
VUL;Essence;Euro 5;UTSP;Route;0.044;
BUS;Diesel;Euro 5;NH3;Ville;0.003;
PL;Essence;Euro 5;COVNM;Route;2.546;
PL;Diesel;Euro 5;UTSP;Ville;0.146;
VP;Essence;Euro 5;CO;Ville;0.317;
VUL;Essence;Euro 5;COVNM;Route;0.004;
PL;Essence;Euro 5;PM2.5;Ville;0.01091;
Bus;Diesel;Euro 5;CO2;Ville;1130.48796;
PL;Essence;Euro 5;PM10;Route;0.00492;
VUL;Diesel;Euro 5;UPM1.0;Ville;0.003;
VUL;Essence;Euro 5;UPM2.5;Ville;0.022;
PL;Diesel;Euro 5;CH4;Ville;0.00456;
VUL;Diesel;Euro 5;PM2.5;Ville;0.0014;
VUL;Essence;Euro 5;ECOVNM;Route;0.047;
VUL;Essence;Euro 5;PM10;Route;0.00205;
BUS;Diesel;Euro 5;NH3;Route;0.002;
VP;Essence;Euro 5;PM1.0;Ville;0.00117;
VP;Essence;Euro 5;COVNM;Route;0.002;
PL;Essence;Euro 5;NH3;Route;0.002;
VUL;Diesel;Euro 5;COVNM;Route;0;
VP;Essence;Euro 5;SO2;Ville;0.0058;
VUL;Diesel;Euro 5;CO;Route;0;
VUL;Diesel;Euro 5;NH3;Route;0.002;
PL;Essence;Euro 5;N2O;Route;0.006;
PL;Diesel;Euro 5;UPM2.5;Route;0.041;
VP;Essence;Euro 5;UPM1.0;Ville;0.002;
PL;Diesel;Euro 5;UPM10;Ville;0.1;
PL;Diesel;Euro 5;UPM10;Route;0.082;
VP;Essence;Euro 5;CH4;Ville;0.02885;
VP;Essence;Euro 5;CH4;Route;0.00269;
Bus;Diesel;Euro 5;PM10;Ville;0.07284;
PL;Essence;Euro 5;NOx;Route;4.2707;
PL;Essence;Euro 5;NH3;Ville;0.002;
VUL;Diesel;Euro 5;UPM1.0;Route;0.002;
